pa,avg,chase_pct,avg_ev,season,full_name,birth_year_clean,age
672.0,0.0527448869752422,0.22787456445993032,84.03468899521533,2022.0,Rhys Hoskins,1993,29.0
476.0,0.053197205803331545,0.2199787460148778,79.97064056939503,2022.0,Connor Joe,1992,30.0
229.0,0.036458333333333336,0.24151696606786427,81.55681818181812,2022.0,Jordan Luplow,1993,29.0
668.0,0.06582809224318659,0.3011120615911035,81.78105381165916,2022.0,Cedric Mullins,1994,28.0
371.0,0.05877862595419847,0.28125,83.62294372294363,2022.0,Emmanuel Rivera,1996,26.0
671.0,0.044547398431931576,0.21318090114324142,86.49869621903528,2022.0,Kyle Schwarber,1993,29.0
274.0,0.04930232558139535,0.22982456140350876,83.03709677419359,2022.0,Pavin Smith,1996,26.0
540.0,0.058317399617590825,0.2595785440613027,80.64296081277213,2022.0,Lane Thomas,1995,27.0
645.0,0.06882255389718077,0.2512820512820513,83.0149659863947,2022.0,Alex Verdugo,1996,26.0
226.0,0.03289473684210526,0.26899383983572894,83.37846715328466,2022.0,Paul DeJong,1993,29.0
387.0,0.04915824915824916,0.28833551769331583,83.53013100436677,2022.0,Ramón Laureano,1994,28.0
406.0,0.0545785324439054,0.32655367231638416,82.19879931389357,2022.0,Gavin Sheets,1996,26.0
426.0,0.04984802431610942,0.2775757575757576,81.98563218390802,2022.0,Yoán Moncada,1995,27.0
652.0,0.06349840255591055,0.2806354009077156,85.38499399759898,2022.0,Shohei Ohtani,1994,28.0
202.0,0.03444316877152698,0.2605932203389831,80.5430555555556,2022.0,Yoshi Tsutsugo,1991,31.0
289.0,0.04925241864555849,0.30594405594405594,81.87096774193544,2022.0,Diego Castillo,1997,25.0
517.0,0.059621909840038775,0.24454545454545454,83.75858156028367,2022.0,Ronald Acuña Jr.,1997,25.0
441.0,0.06935270805812417,0.31546134663341646,82.41732909379967,2022.0,Keibert Ruiz,1998,24.0
369.0,0.07404692082111437,0.4718498659517426,82.72509025270763,2022.0,Oscar Gonzalez,1998,24.0
259.0,0.06269592476489028,0.37103174603174605,81.46475409836064,2022.0,Juan Yepez,1998,24.0
338.0,0.04719101123595506,0.3200531208499336,82.86340326340331,2022.0,Jesús Sánchez,1997,25.0
375.0,0.06144496961512492,0.2933168316831683,83.18870192307692,2022.0,William Contreras,1997,25.0
201.0,0.04993429697766097,0.3677581863979849,78.24526315789478,2022.0,Brian Serven,1995,27.0
585.0,0.055357142857142855,0.296094459582198,80.63257287705952,2022.0,Daulton Varsho,1996,26.0
332.0,0.04941176470588235,0.2096069868995633,84.45961538461536,2022.0,Lars Nootbaar,1997,25.0
510.0,0.07596371882086168,0.3344556677890011,81.73671988388972,2022.0,Nico Hoerner,1997,25.0
688.0,0.06679764243614932,0.3016924208977189,84.26326754385966,2022.0,Austin Riley,1997,25.0
233.0,0.06155632984901278,0.2857142857142857,80.50920245398771,2022.0,Nick Madrigal,1997,25.0
608.0,0.059414591524683265,0.37925696594427244,82.6465577596265,2022.0,Ryan Mountcastle,1997,25.0
547.0,0.05707547169811321,0.27177700348432055,84.40909090909092,2022.0,Ke'Bryan Hayes,1997,25.0
609.0,0.06389776357827476,0.26194690265486725,83.60392609699764,2022.0,Kyle Tucker,1997,25.0
430.0,0.05608591885441527,0.2484548825710754,80.50983935742971,2022.0,Jonathan India,1996,26.0
288.0,0.05316223648029331,0.31103074141048825,81.45661016949148,2022.0,Joey Bart,1996,26.0
415.0,0.04882688649334179,0.31062355658198615,83.8383895131086,2022.0,Cal Raleigh,1996,26.0
230.0,0.06117353308364544,0.25952380952380955,84.21999999999994,2022.0,Nick Fortes,1996,26.0
522.0,0.03871576959395656,0.2049102927289896,80.25739130434788,2022.0,Trent Grisham,1996,26.0
360.0,0.056793673616103525,0.2778581765557164,83.51434511434515,2022.0,Matt Vierling,1996,26.0
293.0,0.05321888412017167,0.23259762308998302,80.40589970501479,2022.0,Alfonso Rivas III,1996,26.0
577.0,0.06942392909896603,0.2725546058879392,84.23271523178809,2022.0,Brendan Rodgers,1996,26.0
636.0,0.07295960428689201,0.2946127946127946,83.84028540065857,2022.0,Nathaniel Lowe,1995,27.0
639.0,0.06234915526950925,0.26875,82.58667466986805,2022.0,Ian Happ,1994,28.0
